year,series_name,series_href
2025,1933,https://www.cricbuzz.comhttps://www.cricbuzz.com/cricket-scorecard-archives/1933
2025,1934,https://www.cricbuzz.comhttps://www.cricbuzz.com/cricket-scorecard-archives/1934
2025,1935,https://www.cricbuzz.comhttps://www.cricbuzz.com/cricket-scorecard-archives/1935
2025,1936,https://www.cricbuzz.comhttps://www.cricbuzz.com/cricket-scorecard-archives/1936
2025,1937,https://www.cricbuzz.comhttps://www.cricbuzz.com/cricket-scorecard-archives/1937
2025,1938,https://www.cricbuzz.comhttps://www.cricbuzz.com/cricket-scorecard-archives/1938
2025,1939,https://www.cricbuzz.comhttps://www.cricbuzz.com/cricket-scorecard-archives/1939
2025,1921,https://www.cricbuzz.comhttps://www.cricbuzz.com/cricket-scorecard-archives/1921
2025,1922,https://www.cricbuzz.comhttps://www.cricbuzz.com/cricket-scorecard-archives/1922
2025,1924,https://www.cricbuzz.comhttps://www.cricbuzz.com/cricket-scorecard-archives/1924
2025,1926,https://www.cricbuzz.comhttps://www.cricbuzz.com/cricket-scorecard-archives/1926
2025,1927,https://www.cricbuzz.comhttps://www.cricbuzz.com/cricket-scorecard-archives/1927
2025,1928,https://www.cricbuzz.comhttps://www.cricbuzz.com/cricket-scorecard-archives/1928
2025,1929,https://www.cricbuzz.comhttps://www.cricbuzz.com/cricket-scorecard-archives/1929
2025,1930,https://www.cricbuzz.comhttps://www.cricbuzz.com/cricket-scorecard-archives/1930
2025,1911,https://www.cricbuzz.comhttps://www.cricbuzz.com/cricket-scorecard-archives/1911
2025,1912,https://www.cricbuzz.comhttps://www.cricbuzz.com/cricket-scorecard-archives/1912
2025,1913,https://www.cricbuzz.comhttps://www.cricbuzz.com/cricket-scorecard-archives/1913
2025,1920,https://www.cricbuzz.comhttps://www.cricbuzz.com/cricket-scorecard-archives/1920
2025,1901,https://www.cricbuzz.comhttps://www.cricbuzz.com/cricket-scorecard-archives/1901
2025,1902,https://www.cricbuzz.comhttps://www.cricbuzz.com/cricket-scorecard-archives/1902
2025,1903,https://www.cricbuzz.comhttps://www.cricbuzz.com/cricket-scorecard-archives/1903
2025,1905,https://www.cricbuzz.comhttps://www.cricbuzz.com/cricket-scorecard-archives/1905
2025,1906,https://www.cricbuzz.comhttps://www.cricbuzz.com/cricket-scorecard-archives/1906
2025,1907,https://www.cricbuzz.comhttps://www.cricbuzz.com/cricket-scorecard-archives/1907
2025,1909,https://www.cricbuzz.comhttps://www.cricbuzz.com/cricket-scorecard-archives/1909
2025,1910,https://www.cricbuzz.comhttps://www.cricbuzz.com/cricket-scorecard-archives/1910
2025,1892,https://www.cricbuzz.comhttps://www.cricbuzz.com/cricket-scorecard-archives/1892
2025,1893,https://www.cricbuzz.comhttps://www.cricbuzz.com/cricket-scorecard-archives/1893
2025,1894,https://www.cricbuzz.comhttps://www.cricbuzz.com/cricket-scorecard-archives/1894
2025,1896,https://www.cricbuzz.comhttps://www.cricbuzz.com/cricket-scorecard-archives/1896
2025,1897,https://www.cricbuzz.comhttps://www.cricbuzz.com/cricket-scorecard-archives/1897
2025,1899,https://www.cricbuzz.comhttps://www.cricbuzz.com/cricket-scorecard-archives/1899
2025,1881,https://www.cricbuzz.comhttps://www.cricbuzz.com/cricket-scorecard-archives/1881
2025,1882,https://www.cricbuzz.comhttps://www.cricbuzz.com/cricket-scorecard-archives/1882
2025,1883,https://www.cricbuzz.comhttps://www.cricbuzz.com/cricket-scorecard-archives/1883
2025,1884,https://www.cricbuzz.comhttps://www.cricbuzz.com/cricket-scorecard-archives/1884
2025,1886,https://www.cricbuzz.comhttps://www.cricbuzz.com/cricket-scorecard-archives/1886
2025,1887,https://www.cricbuzz.comhttps://www.cricbuzz.com/cricket-scorecard-archives/1887
2025,1888,https://www.cricbuzz.comhttps://www.cricbuzz.com/cricket-scorecard-archives/1888
2025,1889,https://www.cricbuzz.comhttps://www.cricbuzz.com/cricket-scorecard-archives/1889
2025,1890,https://www.cricbuzz.comhttps://www.cricbuzz.com/cricket-scorecard-archives/1890
